year,iso3,port_name,label,vessel_class,type,flag,is_pacific_rim,is_psma_port,is_psma_state,n_visits,n_visits_fishing_vessel,n_visits_fishing_vessel_hs,n_visits_support_vessel,n_visits_support_vessel_hs
2024,CHN,,CHN-2588,fishing,domestic,CHN,1,0,0,96,96,0,0,0
2024,CHN,,CHN-2324,fishing,domestic,CHN,1,0,0,409,409,0,0,0
2024,CHN,,HAIKOU,fishing,domestic,CHN,1,0,0,468,468,0,0,0
2024,CHN,,WENZHOU,bunker,domestic,CHN,1,0,0,1148,0,0,1148,0
2024,CHN,,CHN-2349,bunker,domestic,CHN,1,0,0,23,0,0,23,0
2024,CHN,,CHN-2374,bunker,domestic,CHN,1,0,0,402,0,0,402,0
2024,CHN,,HUANGDAO,fishing,domestic,CHN,1,0,0,745,745,0,0,0
2024,CHN,,CHN-2152,fishing,domestic,CHN,1,0,0,86,86,0,0,0
2024,CHN,,CHN-1852,fishing,domestic,CHN,1,0,0,749,749,0,0,0
2024,CHN,,CHN-2085,fishing,domestic,CHN,1,0,0,638,638,0,0,0
2024,CHN,,CHN-1912,fishing,domestic,CHN,1,0,0,145,145,0,0,0
2024,CHN,,CHN-208,fishing,domestic,CHN,1,0,0,50,50,0,0,0
2024,CHN,,HAIAN,bunker,domestic,CHN,1,0,0,342,0,0,342,0
2024,CHN,,HULUDAO,bunker,domestic,CHN,1,0,0,171,0,0,171,0
2024,CHN,,CHN-2108,fishing,domestic,CHN,1,0,0,483,483,0,0,0
2024,CHN,,SHEKOU,fishing,domestic,CHN,1,0,0,402,402,1,0,0
2024,CHN,,GOUQI ISLAND,fishing,domestic,CHN,1,0,0,4781,4781,0,0,0
2024,CHN,,CHN-2197,bunker,domestic,CHN,1,0,0,87,0,0,87,0
2024,CHN,,DAPENG,bunker,domestic,CHN,1,0,0,423,0,0,423,0
2024,CHN,,LUHUASHAN ANCHORAGE,fishing,domestic,CHN,1,0,0,534,534,0,0,0
2024,CHN,,YANGPU,fishing,domestic,CHN,1,0,0,2099,2099,0,0,0
2024,CHN,,HUANGHUA,fishing,domestic,CHN,1,0,0,2368,2368,0,0,0
2024,CHN,,DONG YING,bunker,domestic,CHN,1,0,0,2010,0,0,2010,0
2024,CHN,,WEIFANG,bunker,domestic,CHN,1,0,0,616,0,0,616,0
2024,CHN,,QUSHAN ISLAND,fishing,domestic,CHN,1,0,0,262,262,0,0,0
2024,CHN,,CHN-2050,fishing,domestic,CHN,1,0,0,129,129,0,0,0
2024,CHN,,PANJIN,fishing,domestic,CHN,1,0,0,2651,2651,0,0,0
2024,CHN,,CHN-2395,fishing,domestic,CHN,1,0,0,480,480,0,0,0
2024,CHN,,CHN-1274,bunker,domestic,CHN,1,0,0,60,0,0,60,0
2024,CHN,,DONGTOU,bunker,domestic,CHN,1,0,0,295,0,0,295,0
2024,CHN,,CHEKLAPKOK,fishing,domestic,CHN,1,0,0,838,838,0,0,0
2024,CHN,,CHN-812,bunker,domestic,CHN,1,0,0,39,0,0,39,0
2024,CHN,,CHN-1743,fishing,domestic,CHN,1,0,0,169,169,0,0,0
2024,CHN,,CHN-155,fishing,domestic,CHN,1,0,0,447,447,0,0,0
2024,CHN,,CHN-1822,fishing,domestic,CHN,1,0,0,43,43,0,0,0
2024,CHN,,CHN-2036,fishing,domestic,CHN,1,0,0,131,131,0,0,0
2024,CHN,,CHN-2155,fishing,domestic,CHN,1,0,0,356,356,0,0,0
2024,CHN,,GANJIANG,fishing,domestic,CHN,1,0,0,1714,1714,0,0,0
2024,CHN,,NANPENGLIE ISLAND,fishing,domestic,CHN,1,0,0,59,59,0,0,0
2024,CHN,,CHN-2229,fishing,domestic,CHN,1,0,0,136,136,0,0,0
2024,CHN,,CHN-775,fishing,domestic,CHN,1,0,0,7,7,0,0,0
2024,CHN,,CHN-433,bunker,domestic,CHN,0,0,0,640,0,0,640,0
2024,CHN,,CHN-1385,fishing,domestic,CHN,1,0,0,220,220,0,0,0
2024,CHN,,SONGMEN,fishing,domestic,CHN,1,0,0,1773,1773,0,0,0
2024,CHN,,XINGCHENG,fishing,domestic,CHN,1,0,0,290,290,0,0,0
2024,CHN,,SANSHA ANCHORAGE,bunker,domestic,CHN,1,0,0,10,0,0,10,0
2024,CHN,,SHENZHEN,fishing,domestic,CHN,1,0,0,716,716,0,0,0
2024,CHN,,CHENJIAGANG,fishing,domestic,CHN,1,0,0,1403,1403,0,0,0
2024,CHN,,CHN-1164,bunker,domestic,CHN,1,0,0,62,0,0,62,0
2024,CHN,,CHN-1815,fishing,domestic,CHN,1,0,0,462,462,0,0,0
2024,CHN,,NANHUANGCHENG,fishing,domestic,CHN,1,0,0,1835,1835,0,0,0
2024,CHN,,CHN-2470,fishing,domestic,CHN,1,0,0,1330,1330,0,0,0
2024,CHN,,CHN-696,fishing,domestic,CHN,1,0,0,226,226,0,0,0
2024,CHN,,LAIZHOU,bunker,domestic,CHN,1,0,0,538,0,0,538,0
2024,CHN,,CHN-2348,fishing,domestic,CHN,1,0,0,395,395,0,0,0
2024,CHN,,CHN-2040,fishing,domestic,CHN,1,0,0,114,114,0,0,0
2024,CHN,,DONGYING,bunker,domestic,CHN,1,0,0,517,0,0,517,0
2024,CHN,,CAOJING,bunker,domestic,CHN,1,0,0,1618,0,0,1618,0
2024,CHN,,AOJIANG,bunker,domestic,CHN,1,0,0,83,0,0,83,0
