FID_1,LATITUDE,LONGITUDE,FID_2,F_AREA
896,-27.50000000000,-17.50000000000,7,47
897,-27.50000000000,-12.50000000000,7,47
898,-27.50000000000,-7.50000000000,7,47
899,-27.50000000000,-2.50000000000,7,47
900,-27.50000000000,2.50000000000,7,47
901,-27.50000000000,7.50000000000,7,47
902,-27.50000000000,12.50000000000,7,47
968,-22.50000000000,-17.50000000000,7,47
969,-22.50000000000,-12.50000000000,7,47
970,-22.50000000000,-7.50000000000,7,47
971,-22.50000000000,-2.50000000000,7,47
972,-22.50000000000,2.50000000000,7,47
973,-22.50000000000,7.50000000000,7,47
974,-22.50000000000,12.50000000000,7,47
1040,-17.50000000000,-17.50000000000,7,47
1041,-17.50000000000,-12.50000000000,7,47
1042,-17.50000000000,-7.50000000000,7,47
1043,-17.50000000000,-2.50000000000,7,47
1044,-17.50000000000,2.50000000000,7,47
1045,-17.50000000000,7.50000000000,7,47
1112,-12.50000000000,-17.50000000000,7,47
1113,-12.50000000000,-12.50000000000,7,47
1114,-12.50000000000,-7.50000000000,7,47
1115,-12.50000000000,-2.50000000000,7,47
1116,-12.50000000000,2.50000000000,7,47
1117,-12.50000000000,7.50000000000,7,47
1118,-12.50000000000,12.50000000000,7,47
1184,-7.50000000000,-17.50000000000,7,47
1185,-7.50000000000,-12.50000000000,7,47
1186,-7.50000000000,-7.50000000000,7,47
1187,-7.50000000000,-2.50000000000,7,47
1188,-7.50000000000,2.50000000000,7,47
1189,-7.50000000000,7.50000000000,7,47
1190,-7.50000000000,12.50000000000,7,47
96,-82.50000000000,-57.50000000000,8,48
165,-77.50000000000,-72.50000000000,8,48
166,-77.50000000000,-67.50000000000,8,48
167,-77.50000000000,-62.50000000000,8,48
168,-77.50000000000,-57.50000000000,8,48
169,-77.50000000000,-52.50000000000,8,48
170,-77.50000000000,-47.50000000000,8,48
171,-77.50000000000,-42.50000000000,8,48
172,-77.50000000000,-37.50000000000,8,48
238,-72.50000000000,-67.50000000000,8,48
240,-72.50000000000,-57.50000000000,8,48
241,-72.50000000000,-52.50000000000,8,48
242,-72.50000000000,-47.50000000000,8,48
243,-72.50000000000,-42.50000000000,8,48
244,-72.50000000000,-37.50000000000,8,48
245,-72.50000000000,-32.50000000000,8,48
246,-72.50000000000,-27.50000000000,8,48
247,-72.50000000000,-22.50000000000,8,48
248,-72.50000000000,-17.50000000000,8,48
249,-72.50000000000,-12.50000000000,8,48
311,-67.50000000000,-62.50000000000,8,48
312,-67.50000000000,-57.50000000000,8,48
313,-67.50000000000,-52.50000000000,8,48
314,-67.50000000000,-47.50000000000,8,48
315,-67.50000000000,-42.50000000000,8,48
316,-67.50000000000,-37.50000000000,8,48
317,-67.50000000000,-32.50000000000,8,48
318,-67.50000000000,-27.50000000000,8,48
319,-67.50000000000,-22.50000000000,8,48
320,-67.50000000000,-17.50000000000,8,48
321,-67.50000000000,-12.50000000000,8,48
322,-67.50000000000,-7.50000000000,8,48
323,-67.50000000000,-2.50000000000,8,48
324,-67.50000000000,2.50000000000,8,48
325,-67.50000000000,7.50000000000,8,48
326,-67.50000000000,12.50000000000,8,48
327,-67.50000000000,17.50000000000,8,48
328,-67.50000000000,22.50000000000,8,48
329,-67.50000000000,27.50000000000,8,48
382,-62.50000000000,-67.50000000000,8,48
383,-62.50000000000,-62.50000000000,8,48
384,-62.50000000000,-57.50000000000,8,48
385,-62.50000000000,-52.50000000000,8,48
386,-62.50000000000,-47.50000000000,8,48
387,-62.50000000000,-42.50000000000,8,48
388,-62.50000000000,-37.50000000000,8,48
389,-62.50000000000,-32.50000000000,8,48
390,-62.50000000000,-27.50000000000,8,48
391,-62.50000000000,-22.50000000000,8,48
392,-62.50000000000,-17.50000000000,8,48
393,-62.50000000000,-12.50000000000,8,48
394,-62.50000000000,-7.50000000000,8,48
395,-62.50000000000,-2.50000000000,8,48
396,-62.50000000000,2.50000000000,8,48
397,-62.50000000000,7.50000000000,8,48
398,-62.50000000000,12.50000000000,8,48
399,-62.50000000000,17.50000000000,8,48
400,-62.50000000000,22.50000000000,8,48
401,-62.50000000000,27.50000000000,8,48
458,-57.50000000000,-47.50000000000,8,48
459,-57.50000000000,-42.50000000000,8,48
460,-57.50000000000,-37.50000000000,8,48
461,-57.50000000000,-32.50000000000,8,48
462,-57.50000000000,-27.50000000000,8,48
463,-57.50000000000,-22.50000000000,8,48
464,-57.50000000000,-17.50000000000,8,48
465,-57.50000000000,-12.50000000000,8,48
466,-57.50000000000,-7.50000000000,8,48
467,-57.50000000000,-2.50000000000,8,48
468,-57.50000000000,2.50000000000,8,48
469,-57.50000000000,7.50000000000,8,48
470,-57.50000000000,12.50000000000,8,48
471,-57.50000000000,17.50000000000,8,48
472,-57.50000000000,22.50000000000,8,48
473,-57.50000000000,27.50000000000,8,48
530,-52.50000000000,-47.50000000000,8,48
531,-52.50000000000,-42.50000000000,8,48
532,-52.50000000000,-37.50000000000,8,48
533,-52.50000000000,-32.50000000000,8,48
